timestamp,city,temperature,description
2026-04-18T18:33:35.755Z,Cardiff,11.84,clear sky
2026-04-18T20:25:59.167Z,Cardiff,9.9,clear sky
2026-04-18T22:24:00.446Z,Cardiff,7.09,clear sky
2026-04-19T01:45:43.761Z,Cardiff,6.18,clear sky
2026-04-19T04:43:56.181Z,Cardiff,3.7,clear sky
2026-04-19T07:07:11.257Z,Cardiff,6.46,clear sky
2026-04-19T08:42:31.224Z,Cardiff,10.76,scattered clouds
2026-04-19T10:30:54.958Z,Cardiff,13.05,scattered clouds
2026-04-19T12:37:47.900Z,Cardiff,13.21,broken clouds
2026-04-19T14:34:39.097Z,Cardiff,14.72,overcast clouds
2026-04-19T16:28:51.278Z,Cardiff,13.49,scattered clouds
2026-04-19T18:34:50.466Z,Cardiff,12.6,overcast clouds
2026-04-19T20:26:33.361Z,Cardiff,9.65,overcast clouds
2026-04-19T22:24:57.027Z,Cardiff,8.06,overcast clouds
2026-04-20T01:47:48.453Z,Cardiff,5.21,overcast clouds
2026-04-20T04:51:02.887Z,Cardiff,3.4,broken clouds
2026-04-20T07:51:11.245Z,Cardiff,9.14,overcast clouds
2026-04-20T09:48:54.295Z,Cardiff,12.65,overcast clouds
2026-04-20T11:12:17.183Z,Cardiff,13.3,few clouds
2026-04-20T13:06:47.248Z,Cardiff,14,scattered clouds
2026-04-20T15:10:02.885Z,Cardiff,14.09,broken clouds
2026-04-20T16:55:11.946Z,Cardiff,14.04,overcast clouds
2026-04-20T18:52:04.639Z,Cardiff,11.4,scattered clouds
2026-04-20T20:36:28.898Z,Cardiff,8.47,few clouds
2026-04-20T22:34:06.182Z,Cardiff,8.67,few clouds
2026-04-21T01:29:04.034Z,Cardiff,5.98,clear sky
2026-04-21T04:41:36.524Z,Cardiff,4.28,clear sky
2026-04-21T07:22:00.738Z,Cardiff,8.03,broken clouds
2026-04-21T09:17:15.584Z,Cardiff,9.83,broken clouds
2026-04-21T10:58:38.714Z,Cardiff,12.1,broken clouds
2026-04-21T13:00:58.810Z,Cardiff,13.17,overcast clouds
2026-04-21T15:04:13.232Z,Cardiff,14.15,overcast clouds
2026-04-21T16:48:42.297Z,Cardiff,14.22,overcast clouds
2026-04-21T18:57:56.252Z,Cardiff,12.29,broken clouds
2026-04-21T20:40:13.370Z,Cardiff,11.1,scattered clouds
2026-04-21T22:31:30.175Z,Cardiff,9.75,scattered clouds
2026-04-22T01:27:58.625Z,Cardiff,6.41,overcast clouds
2026-04-22T04:39:04.057Z,Cardiff,6.08,overcast clouds
2026-04-22T07:19:59.727Z,Cardiff,8.18,clear sky
2026-04-22T09:11:42.008Z,Cardiff,11.55,few clouds
2026-04-22T10:57:34.936Z,Cardiff,14.28,few clouds
2026-04-22T13:01:58.636Z,Cardiff,15.71,broken clouds
2026-04-22T15:04:40.022Z,Cardiff,16.86,broken clouds
2026-04-22T16:49:18.128Z,Cardiff,15.7,broken clouds
2026-04-22T18:58:58.425Z,Cardiff,13.05,overcast clouds
2026-04-22T20:42:59.061Z,Cardiff,11.01,overcast clouds
2026-04-22T22:38:36.593Z,Cardiff,11.19,broken clouds
2026-04-23T01:46:27.918Z,Cardiff,9.14,overcast clouds
2026-04-23T04:44:02.982Z,Cardiff,5.94,overcast clouds
2026-04-23T07:22:23.140Z,Cardiff,8.35,broken clouds
2026-04-23T09:18:05.041Z,Cardiff,11.82,broken clouds
2026-04-23T11:00:14.058Z,Cardiff,14.82,broken clouds
2026-04-23T13:01:25.479Z,Cardiff,17.38,scattered clouds
2026-04-23T15:29:51.158Z,Cardiff,19.05,scattered clouds
2026-04-23T17:09:50.798Z,Cardiff,18.63,scattered clouds
2026-04-23T18:55:33.920Z,Cardiff,17.32,few clouds
2026-04-23T20:43:09.708Z,Cardiff,14.32,clear sky
